ac_number,constituency,reserved,region,evm_votes_2026,postal_votes_2026,total_votes_2026,electorate,turnout_2026_pct
224,Tirunelveli,GEN,South,215767,2658,218425,295303,73.97
225,Ambasamudram,GEN,South,188731,2464,191195,246676,77.51
226,Palayamcottai,GEN,South,177321,3299,180620,278897,64.76
227,Nanguneri,GEN,South,206362,3057,209419,280685,74.61
228,Radhapuram,GEN,South,197567,2364,199931,275132,72.67
229,Kanniyakumari,GEN,South,234992,4158,239150,299074,79.96
230,Nagercoil,GEN,South,193309,2971,196280,274657,71.46
231,Colachel,GEN,South,196175,2838,199013,271992,73.17
232,Padmanabhapuram,GEN,South,177717,2838,180555,242803,74.36
233,Vilavancode,GEN,South,171599,3328,174927,251139,69.65
234,Killiyoor,GEN,South,174832,2702,177534,257960,68.82
